Level	Date and Time	Source	Event ID	Task Category
Information	20-05-2025 14:04:15	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: T1053
UtcTime: 2025-05-20 08:33:59.258
ProcessGuid: {2bd09a4a-3e77-682c-1b00-000000002100}
ProcessId: 1368
Image: C:\Windows\system32\svchost.exe
TargetFilename: C:\Windows\Tasks\SA.DAT
CreationUtcTime: 2025-03-30 05:23:04.934
User: NT AUTHORITY\SYSTEM"
Information	20-05-2025 11:54:00	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: -
UtcTime: 2025-05-20 06:24:00.507
ProcessGuid: {2bd09a4a-2000-682c-7c04-000000002000}
ProcessId: 3564
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\__PSScriptPolicyTest_hpph3bbj.mmg.ps1
CreationUtcTime: 2025-05-20 06:24:00.507
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:53:55	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: -
UtcTime: 2025-05-20 06:23:55.088
ProcessGuid: {2bd09a4a-1ffa-682c-7b04-000000002000}
ProcessId: 8244
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\__PSScriptPolicyTest_5hfenuaj.kde.ps1
CreationUtcTime: 2025-05-20 06:23:55.088
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:24	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:24.947
ProcessGuid: {2bd09a4a-1c17-682c-1304-000000002000}
ProcessId: 452
Image: C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe
TargetFilename: C:\Windows\assembly\NativeImages_v4.0.30319_32\Temp\1c4-0\Microsoft.Security.ApplicationId.PolicyManagement.Cmdlets.dll
CreationUtcTime: 2025-05-20 06:07:24.947
User: NT AUTHORITY\SYSTEM"
Information	20-05-2025 11:37:18	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:18.828
ProcessGuid: {2bd09a4a-1c16-682c-1004-000000002000}
ProcessId: 8588
Image: C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe
TargetFilename: C:\Windows\assembly\NativeImages_v4.0.30319_64\Temp\218c-0\Microsoft.Security.ApplicationId.PolicyManagement.Cmdlets.dll
CreationUtcTime: 2025-05-20 06:07:18.828
User: NT AUTHORITY\SYSTEM"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.933
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\WimProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.933
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.933
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\VhdProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.933
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.933
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\UnattendProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.933
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.763
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\TransmogProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.763
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.763
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\SysprepProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.763
User: DESKTOP-L7UOH9E\mohan"
